season,num_teams,scoring_type,draft_type,roster_slots,play_against_median,divisions,trade_deadline,waiver_type,max_acquisitions_season,max_acquisitions_week,draft_pick_trades,fractional_points,negative_points,playoff_tiebreaker
2001,9,Head-to-Head,Autopick Draft,"QB, WR, WR, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN, BN, BN",No,No,"November 30, 2001",,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2002,11,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,No,"November 29, 2002",,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2003,12,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,No,"November 28, 2003",Continual rolling list,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2004,12,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (2 divisions),"November 19, 2004",Continual rolling list,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2005,12,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (2 divisions),"November 11, 2005",Continual rolling list,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2006,12,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (2 divisions),"November 10, 2006",Continual rolling list,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2007,12,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (2 divisions),"November 16, 2007",Continual rolling list,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2008,12,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (2 divisions),"November 14, 2008",Continual rolling list,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2009,12,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (4 divisions),"November 13, 2009",Continual rolling list,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2010,12,Head-to-Head,Offline Draft,"QB, WR, WR, WR, RB, RB, TE, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (4 divisions),"November 12, 2010",Continual rolling list,No maximum,No maximum,No,Yes,Yes,Best regular season record vs opponent wins
2011,12,Head-to-Head,Offline Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (4 divisions),"November 25, 2011",FAB w/ Continual rolling list tiebreak,No maximum,No maximum,Yes,Yes,Yes,Best regular season record vs opponent wins
2012,12,Head-to-Head,Offline Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (4 divisions),"November 16, 2012",FAB w/ Continual rolling list tiebreak,No maximum,No maximum,Yes,Yes,Yes,Best regular season record vs opponent wins
2013,12,Head-to-Head,Offline Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (4 divisions),"November 15, 2013",FAB w/ Continual rolling list tiebreak,No maximum,No maximum,Yes,Yes,Yes,Best regular season record vs opponent wins
2014,12,Head-to-Head,Offline Draft,"QB, WR, WR, RB, RB, TE, W/R/T, K, DEF, BN, BN, BN, BN, BN, BN",No,Yes (4 divisions),"November 15, 2014",FAB w/ Continual rolling list tiebreak,No maximum,No maximum,Yes,Yes,Yes,Best regular season record vs opponent wins
