season,bracket,week,round,game_type,seed_1,team_1,score_1,seed_2,team_2,score_2,winner
2001,consolation,16,1,semifinal,5,crown,39.35,8,No Mercy,52.56,No Mercy
2001,consolation,16,1,semifinal,6,Recruits,69.30,7,clark,54.03,Recruits
2001,championship,16,2,semifinal,1,sme,59.08,4,Cammuffs,75.52,Cammuffs
2001,championship,16,2,semifinal,2,Marx Brothers,65.91,3,angel,80.33,angel
2001,consolation,17,2,5th_place,8,No Mercy,33.83,6,Recruits,27.12,No Mercy
2001,consolation,17,2,7th_place,5,crown,21.07,7,clark,86.75,clark
2001,championship,17,3,final,4,Cammuffs,55.46,3,angel,59.01,angel
2001,championship,17,3,3rd_place,1,sme,73.35,2,Marx Brothers,75.53,Marx Brothers
2002,championship,15,1,quarterfinal,1,Team Old Style,72.27,8,Team Duff,53.62,Team Old Style
2002,championship,15,1,quarterfinal,4,Cammuffs,81.58,5,watch yourself,88.24,watch yourself
2002,championship,15,1,quarterfinal,3,sme,61.17,6,angel,73.13,angel
2002,championship,15,1,quarterfinal,2,Atom Smashers,50.88,7,Pilsner Urquell FC,53.01,Pilsner Urquell FC
2002,consolation,16,1,semifinal,8,Team Duff,61.25,4,Cammuffs,61.47,Cammuffs
2002,consolation,16,1,semifinal,3,sme,80.38,2,Atom Smashers,45.07,sme
2002,championship,16,2,semifinal,1,Team Old Style,52.94,5,watch yourself,28.38,Team Old Style
2002,championship,16,2,semifinal,6,angel,66.12,7,Pilsner Urquell FC,59.21,angel
2002,consolation,17,2,5th_place,4,Cammuffs,62.27,3,sme,58.44,Cammuffs
2002,consolation,17,2,7th_place,8,Team Duff,60.71,2,Atom Smashers,31.13,Team Duff
2002,championship,17,3,final,1,Team Old Style,49.10,6,angel,75.63,angel
2002,championship,17,3,3rd_place,5,watch yourself,76.14,7,Pilsner Urquell FC,79.77,Pilsner Urquell FC
2003,championship,15,1,quarterfinal,1,Team Duff,41.25,8,1043,64.02,1043
2003,championship,15,1,quarterfinal,4,Budweiser,52.42,5,Cammuffs,79.28,Cammuffs
2003,championship,15,1,quarterfinal,3,team old style,55.78,6,Guinness on Tap,74.27,Guinness on Tap
2003,championship,15,1,quarterfinal,2,crabby jamie,84.85,7,Ditkas Mustache,75.73,crabby jamie
2003,consolation,16,1,semifinal,1,Team Duff,67.16,4,Budweiser,17.93,Team Duff
2003,consolation,16,1,semifinal,3,team old style,94.74,7,Ditkas Mustache,77.08,team old style
2003,championship,16,2,semifinal,8,1043,87.58,5,Cammuffs,71.70,1043
2003,championship,16,2,semifinal,6,Guinness on Tap,52.86,2,crabby jamie,71.27,crabby jamie
2003,consolation,17,2,5th_place,1,Team Duff,58.15,3,team old style,54.30,Team Duff
2003,consolation,17,2,7th_place,4,Budweiser,47.10,7,Ditkas Mustache,48.62,Ditkas Mustache
2003,championship,17,3,final,8,1043,53.95,2,crabby jamie,66.45,crabby jamie
2003,championship,17,3,3rd_place,5,Cammuffs,51.15,6,Guinness on Tap,87.94,Guinness on Tap
2004,championship,15,1,quarterfinal,1,Good Times,49.08,8,crabby jamie,73.00,crabby jamie
2004,championship,15,1,quarterfinal,4,mini ditkas,91.44,5,Enraged Swedes,64.55,mini ditkas
2004,championship,15,1,quarterfinal,3,shootinfor.500,76.28,6,crown,67.82,shootinfor.500
2004,championship,15,1,quarterfinal,2,guy montag,82.33,7,Guinness,85.91,Guinness
2004,consolation,16,1,semifinal,1,Good Times,108.56,5,Enraged Swedes,86.03,Good Times
2004,consolation,16,1,semifinal,6,crown,46.88,2,guy montag,72.35,guy montag
2004,championship,16,2,semifinal,8,crabby jamie,99.05,4,mini ditkas,46.67,crabby jamie
2004,championship,16,2,semifinal,3,shootinfor.500,74.76,7,Guinness,61.69,shootinfor.500
2004,consolation,17,2,5th_place,1,Good Times,60.67,2,guy montag,100.58,guy montag
2004,consolation,17,2,7th_place,5,Enraged Swedes,64.93,6,crown,56.67,Enraged Swedes
2004,championship,17,3,final,8,crabby jamie,84.38,3,shootinfor.500,59.41,crabby jamie
2004,championship,17,3,3rd_place,4,mini ditkas,69.97,7,Guinness,63.57,mini ditkas
2005,championship,14,1,quarterfinal,1,Team Duff,57.13,8,Ricky Williams,59.36,Ricky Williams
2005,championship,14,1,quarterfinal,4,who is john galt?,60.34,5,giant,72.51,giant
2005,championship,14,1,quarterfinal,3,Good Times,56.28,6,Guinness,61.77,Guinness
2005,championship,14,1,quarterfinal,2,miniDITKAS,83.97,7,crabby jamie,97.12,crabby jamie
2005,consolation,15,1,semifinal,1,Team Duff,65.62,4,who is john galt?,47.06,Team Duff
2005,consolation,15,1,semifinal,3,Good Times,41.12,2,miniDITKAS,54.60,miniDITKAS
2005,championship,15,2,semifinal,8,Ricky Williams,77.73,5,giant,88.68,giant
2005,championship,15,2,semifinal,6,Guinness,83.08,7,crabby jamie,56.75,Guinness
2005,consolation,16,2,5th_place,1,Team Duff,115.00,2,miniDITKAS,103.82,Team Duff
2005,consolation,16,2,7th_place,4,who is john galt?,58.18,3,Good Times,41.12,who is john galt?
2005,championship,16,3,final,5,giant,61.82,6,Guinness,73.81,Guinness
2005,championship,16,3,3rd_place,8,Ricky Williams,61.92,7,crabby jamie,54.01,Ricky Williams
2006,championship,14,1,quarterfinal,1,Beer Gut,82.96,8,Branch Davidians,111.73,Branch Davidians
2006,championship,14,1,quarterfinal,4,team old style,40.35,5,Guinness,109.11,Guinness
2006,championship,14,1,quarterfinal,3,Team Duff,49.42,6,who is john galt?,61.09,who is john galt?
2006,championship,14,1,quarterfinal,2,Nw Lnx Fighting Corn,57.68,7,MiniDitkas,81.16,MiniDitkas
2006,consolation,15,1,semifinal,1,Beer Gut,95.88,4,team old style,67.34,Beer Gut
2006,consolation,15,1,semifinal,3,Team Duff,57.84,2,Nw Lnx Fighting Corn,65.96,Nw Lnx Fighting Corn
2006,championship,15,2,semifinal,8,Branch Davidians,63.34,5,Guinness,70.29,Guinness
2006,championship,15,2,semifinal,6,who is john galt?,49.23,7,MiniDitkas,59.44,MiniDitkas
2006,consolation,16,2,5th_place,1,Beer Gut,81.08,2,Nw Lnx Fighting Corn,43.54,Beer Gut
2006,consolation,16,2,7th_place,4,team old style,15.73,3,Team Duff,65.90,Team Duff
2006,championship,16,3,final,5,Guinness,76.13,7,MiniDitkas,101.31,MiniDitkas
2006,championship,16,3,3rd_place,8,Branch Davidians,43.39,6,who is john galt?,51.84,who is john galt?
2007,championship,14,1,quarterfinal,1,South of 55 is mine!,77.03,8,Nw Lnx Fightin' Corn,61.98,South of 55 is mine!
2007,championship,14,1,quarterfinal,4,who is john galt?,80.46,5,Good Times,83.05,Good Times
2007,championship,14,1,quarterfinal,3,Minooka Bears,92.83,6,you're all screwed,81.47,Minooka Bears
2007,championship,14,1,quarterfinal,2,MiniDitkas,79.69,7,Beer Gut,54.95,MiniDitkas
2007,consolation,15,1,semifinal,8,Nw Lnx Fightin' Corn,54.48,4,who is john galt?,56.69,who is john galt?
2007,consolation,15,1,semifinal,6,you're all screwed,63.94,7,Beer Gut,61.50,you're all screwed
2007,championship,15,2,semifinal,1,South of 55 is mine!,55.85,5,Good Times,49.78,South of 55 is mine!
2007,championship,15,2,semifinal,3,Minooka Bears,71.44,2,MiniDitkas,64.69,Minooka Bears
2007,consolation,16,2,5th_place,4,who is john galt?,58.78,6,you're all screwed,37.51,who is john galt?
2007,consolation,16,2,7th_place,8,Nw Lnx Fightin' Corn,68.17,7,Beer Gut,47.40,Nw Lnx Fightin' Corn
2007,championship,16,3,final,1,South of 55 is mine!,95.55,3,Minooka Bears,79.50,South of 55 is mine!
2007,championship,16,3,3rd_place,5,Good Times,53.32,2,MiniDitkas,79.02,MiniDitkas
2008,championship,14,1,quarterfinal,1,MiniDitkas,94.38,8,Good Times,94.40,Good Times
2008,championship,14,1,quarterfinal,4,long live the goat,79.57,5,Minooka Bears,66.39,long live the goat
2008,championship,14,1,quarterfinal,3,who is john galt?,85.87,6,old style,77.35,who is john galt?
2008,championship,14,1,quarterfinal,2,Nw Lnx Fightin' Corn,64.11,7,First to Worst,87.13,First to Worst
2008,consolation,15,1,semifinal,1,MiniDitkas,92.22,5,Minooka Bears,70.66,MiniDitkas
2008,consolation,15,1,semifinal,6,old style,85.89,2,Nw Lnx Fightin' Corn,64.65,old style
2008,championship,15,2,semifinal,8,Good Times,82.11,4,long live the goat,90.24,long live the goat
2008,championship,15,2,semifinal,3,who is john galt?,65.00,7,First to Worst,69.54,First to Worst
2008,consolation,16,2,5th_place,1,MiniDitkas,127.19,6,old style,101.25,MiniDitkas
2008,consolation,16,2,7th_place,5,Minooka Bears,75.33,2,Nw Lnx Fightin' Corn,75.67,Nw Lnx Fightin' Corn
2008,championship,16,3,final,4,long live the goat,61.68,7,First to Worst,75.84,First to Worst
2008,championship,16,3,3rd_place,8,Good Times,84.20,3,who is john galt?,54.70,Good Times
2009,championship,14,1,quarterfinal,1,team old style,108.15,8,3-PEAT??,84.85,team old style
2009,championship,14,1,quarterfinal,4,AmstelAssLighters,94.11,5,NewLenoxFightinCorn,81.44,AmstelAssLighters
2009,championship,14,1,quarterfinal,3,cubs killed harry,83.80,6,Beer Gut,81.18,cubs killed harry
2009,championship,14,1,quarterfinal,2,Guinness,75.47,7,miniDITKAS,83.69,miniDITKAS
2009,consolation,15,1,semifinal,8,3-PEAT??,58.51,5,NewLenoxFightinCorn,82.31,NewLenoxFightinCorn
2009,consolation,15,1,semifinal,6,Beer Gut,89.44,2,Guinness,85.76,Beer Gut
2009,championship,15,2,semifinal,1,team old style,103.86,4,AmstelAssLighters,71.61,team old style
