week,team_name,score,opponent,opponent_score,projected
1,small sample size,81.55,Guntry Club,92.93,82.01
1,Guntry Club,92.93,small sample size,81.55,75.08
1,Bears,114.5,This Is How We Do,97.85,78.88
1,This Is How We Do,97.85,Bears,114.5,74.45
1,Futball in the Groin,115.38,“I’ll take Kittle”,100.35,84.82
1,“I’ll take Kittle”,100.35,Futball in the Groin,115.38,83.39
1,Fuzzy Bears,69.18,team old style,98.21,85.49
1,team old style,98.21,Fuzzy Bears,69.18,84.94
1,Goood Times,98.73,Mean Machine 22,56.77,81.14
1,Mean Machine 22,56.77,Goood Times,98.73,77.1
1,Guinness,70.91,miniDITKAS,77.88,80.49
1,miniDITKAS,77.88,Guinness,70.91,76.48
