season,rank,team_name,wins,losses,ties,points_for,points_against,streak,waiver_priority,moves
2001,1,angel,7,6,0,775.56,645.32,W-1,6,5
2001,2,Cammuffs,7,6,0,719.34,680.65,L-1,3,24
2001,3,Marx Brothers,9,4,0,846.49,706.5,W-1,5,13
2001,4,sme,10,4,0,912.41,763.32,W-1,4,21
2001,5,No Mercy,5,8,0,556.18,766.73,L-3,8,22
2001,6,Recruits,6,8,0,621.27,665.49,W-1,1,12
2001,7,clark,5,8,0,647.14,685.3,W-2,9,28
2001,8,crown,7,7,0,738.91,734.79,L-1,2,1
2001,9,Flatulent Quadroons,4,9,0,588.68,757.88,L-2,7,13
2002,1,angel,6,7,0,866.26,867.68,L-1,3,7
2002,2,Team Old Style,9,4,0,949.47,790.36,W-1,8,27
2002,3,Pilsner Urquell FC,6,7,0,844.42,842.64,L-3,11,6
2002,4,watch yourself,7,6,0,829.97,803.78,W-3,1,-
2002,5,Cammuffs,7,5,0,912.1,784.17,W-6,10,23
2002,6,sme,8,5,0,815.23,826.51,W-1,6,39
2002,7,Team Duff,5,7,0,771.66,778.51,W-1,7,11
2002,8,Atom Smashers,8,5,0,835.69,910.37,L-2,2,7
2002,9,Guinness On Tap,5,7,0,639.48,696.14,L-5,9,35
2002,10,crown,5,8,0,881.06,876.51,L-1,4,5
2002,11,mini ditka's bitches,4,9,0,786.47,955.14,W-2,5,11
2003,1,crabby jamie,9,5,0,931.58,762.1,W-2,10,21
2003,2,1043,7,7,0,864.68,929.78,W-1,11,10
2003,3,Guinness on Tap,8,6,0,782.5,789.73,L-3,6,28
2003,4,Cammuffs,8,6,0,823.52,822.52,W-1,1,33
2003,5,Team Duff,11,3,0,951.55,829.58,W-6,7,14
2003,6,team old style,8,6,0,994.93,885.9,W-3,12,22
2003,7,Ditkas Mustache,7,7,0,928.05,876.92,L-1,9,28
2003,8,Budweiser,8,6,0,853.73,831.77,L-1,2,8
2003,9,Pilsner Urquell FC,7,7,0,690.34,819.76,L-1,5,14
2003,10,vimilakirti,6,8,0,920.23,896.38,L-3,8,47
2003,11,crown,3,11,0,792.89,919.53,W-1,3,6
2003,12,Team Tupa,2,12,0,778.53,948.56,L-8,4,5
2004,1,crabby jamie,6,8,0,942.66,1019.91,W-1,3,24
2004,2,shootinfor.500,9,5,0,1060.17,953.32,W-3,2,11
2004,3,mini ditkas,8,6,0,991.14,990.37,L-1,12,40
2004,4,Guinness,7,7,0,953.18,982.48,L-2,10,27
2004,5,guy montag,10,4,0,1115.41,868.34,L-1,11,32
2004,6,Good Times,10,4,0,1191.54,923.33,L-1,6,15
2004,7,Enraged Swedes,8,6,0,891.34,849.46,W-1,4,13
2004,8,crown,8,6,0,887.26,848.28,W-5,5,6
2004,9,team old style,5,9,0,986.47,1050.43,W-1,7,22
2004,10,Suxors,5,9,0,820.67,853.85,W-2,1,11
2004,11,Ricky Williams,4,10,0,863.98,1136.21,L-5,9,31
2004,12,2005 #1 draft pick,4,10,0,761.32,989.16,L-2,8,5
2005,1,Guinness,7,6,0,874.56,887.64,W-1,2,38
2005,2,giant,7,6,0,952.04,906.20,W-6,12,19
2005,3,Ricky Williams,5,8,0,828.04,882.55,W-1,9,19
2005,4,crabby jamie,5,8,0,976.84,888.91,L-1,1,5
2005,5,Team Duff,11,2,0,996.59,800.04,L-1,8,16
2005,6,miniDITKAS,9,4,0,987.65,792.41,W-1,11,32
2005,7,who is john galt?,8,5,0,849.84,784.40,L-3,10,33
2005,8,Good Times,8,5,0,940.58,810.73,W-2,7,17
2005,9,Hi I'm new here,5,8,0,754.95,828.45,W-2,3,12
2005,10,Team Firestorm,5,8,0,672.14,886.60,L-7,6,10
2005,11,what's an end zone?,4,9,0,675.15,883.49,L-2,5,28
2005,12,shootinfor.750,4,9,0,658.38,815.34,L-1,4,5
2006,1,MiniDitkas,7,6,0,765.84,804.79,W-1,5,25
2006,2,Guinness,7,6,0,813.45,894.00,L-1,12,34
2006,3,who is john galt?,7,6,0,776.05,817.99,W-3,3,9
2006,4,Branch Davidians,5,8,0,772.94,812.00,L-2,6,22
2006,5,Beer Gut,11,2,0,1072.53,759.07,W-7,2,-
2006,6,Nw Lnx Fighting Corn,10,3,0,1041.95,792.00,W-1,10,17
2006,7,Team Duff,8,5,0,866.68,847.46,L-2,8,11
2006,8,team old style,7,6,0,840.40,739.03,L-1,11,20
2006,9,thebestteamever,4,9,0,787.72,855.66,W-1,4,8
2006,10,Two and Eight,4,9,0,777.08,889.26,L-1,7,9
2006,11,Ricky Williams,4,9,0,764.11,903.69,W-3,1,22
2006,12,Firestarters,4,9,0,665.90,829.70,L-3,9,6
2007,1,South of 55 is mine!,10,3,0,984.88,873.58,L-2,1,21
2007,2,Minooka Bears,8,5,0,952.47,879.11,W-5,4,19
2007,3,MiniDitkas,8,5,0,870.32,748.31,W-4,8,26
2007,4,Good Times,7,6,0,828.97,836.90,L-1,3,6
2007,5,who is john galt?,7,6,0,830.56,814.69,W-2,12,42
2007,6,you're all screwed,7,6,0,760.63,865.09,W-1,6,40
2007,7,Nw Lnx Fightin' Corn,6,7,0,861.14,847.30,W-1,9,14
2007,8,Beer Gut,7,6,0,735.43,762.67,L-2,2,11
2007,9,vick's dog pound,5,8,0,844.27,814.70,W-1,11,30
2007,10,RedShit,5,8,0,818.14,847.00,L-5,5,12
2007,11,Old Style,4,9,0,794.96,877.94,L-1,10,29
2007,12,Guinness,4,9,0,744.25,858.73,L-1,7,32
2008,1,First to Worst,6,7,0,954.10,1022.64,L-2,7,30
2008,2,long live the goat,7,6,0,1094.12,961.09,W-1,12,31
2008,3,Good Times,6,7,0,952.69,967.30,W-1,11,13
2008,4,who is john galt?,8,5,0,994.90,880.40,W-3,4,19
2008,5,MiniDitkas,10,3,0,1043.74,922.97,L-1,10,18
2008,6,old style,7,6,0,955.51,979.26,L-1,8,20
2008,7,Nw Lnx Fightin' Corn,10,3,0,1015.43,914.72,L-1,6,16
2008,8,Minooka Bears,7,6,0,1024.41,960.86,W-4,2,25
2008,9,Beer Gut,6,7,0,895.72,911.48,W-1,1,6
2008,10,Guinness,4,9,0,885.24,979.90,L-2,5,31
2008,11,PJH Hawks,4,9,0,803.26,959.44,W-1,3,13
2008,12,you're all screwed,3,10,0,842.15,1001.21,L-1,9,24
2009,1,team old style,12,1,0,1164.32,982.85,W-7,8,18
2009,2,cubs killed harry,7,6,0,1055.60,1010.15,L-2,9,31
2009,3,miniDITKAS,6,7,0,1061.45,1042.94,W-1,5,24
2009,4,AmstelAssLighters,7,6,0,1038.26,977.61,L-2,10,7
2009,5,NewLenoxFightinCorn,7,6,0,1049.00,1059.13,W-1,6,15
2009,6,Beer Gut,7,6,0,846.81,969.47,W-2,1,5
2009,7,Guinness,9,4,0,1159.59,889.22,L-1,2,18
2009,8,3-PEAT??,6,7,0,1015.37,954.17,L-3,12,20
2009,9,Minooka Bears,6,7,0,1002.18,1040.45,W-2,11,29
2009,10,Good Times,5,8,0,860.63,1016.18,L-3,4,9
2009,11,at least i beat fadi,3,10,0,930.73,1114.29,W-2,7,10
2009,12,Fuzzy Bears,3,10,0,838.65,966.13,L-1,3,15
2010,1,team old style,6,7,0,1060.98,1027.64,W-2,1,16
2010,2,Return to Glory?,7,6,0,896.13,918.98,W-1,7,20
2010,3,Fuzzy Bears,7,6,0,1027.20,1051.77,W-2,6,9
2010,4,Minooka Bears,12,1,0,1182.15,891.44,W-7,5,43
2010,5,chad 86,8,5,0,1091.14,960.80,W-3,12,15
2010,6,Good Times,8,5,0,1097.03,1122.81,L-1,2,10
2010,7,cubs killed harry,6,7,0,1053.86,1016.16,L-2,11,31
2010,8,miniDITKAS,9,4,0,1004.09,980.22,W-2,3,17
2010,9,BV,4,9,0,929.89,1013.59,L-4,4,36
2010,10,Guinness,4,9,0,903.90,1044.00,L-3,10,20
2010,11,AmstelBoobies,4,9,0,898.75,989.39,L-2,8,3
2010,12,angry cat,3,10,0,963.91,1092.23,L-5,9,14
2011,1,Sub .500!!!,9,4,0,1055.81,952.32,W-2,$0,10
2011,2,Guinness,10,3,0,1126.65,933.77,W-5,$78,2
2011,3,angry cat,10,3,0,1188.70,959.53,W-1,$50,12
2011,4,cubs killed harry,8,5,0,1112.56,1050.63,W-2,$39,1
2011,5,Fuzzy Bears,9,4,0,1136.60,995.67,L-2,$98,8
2011,6,Quakes and Canes,6,7,0,1075.14,1083.17,L-4,$63,4
2011,7,Three Four D,5,8,0,1041.85,1096.87,W-2,$0,7
2011,8,team old style,6,7,0,970.19,1057.70,L-1,$48,6
2011,9,miniDITKAS,5,8,0,933.85,1109.85,L-2,$54,3
2011,10,chad 86,4,9,0,1072.04,1042.67,W-1,$16,11
2011,11,Bad Times,3,10,0,865.49,1022.41,L-2,$67,9
2011,12,AbsolutBritneySpears,3,10,0,779.63,1053.92,L-1,$100,5
2012,1,Goood Times,7,6,0,1037.85,1065.08,W-2,$3,4
2012,2,Quakes and Canes,6,7,0,1055.28,1114.15,L-1,$58,3
2012,3,angry cat,9,4,0,1095.46,1070.11,W-3,$39,10
2012,4,Fuzzy Bears,7,6,0,1097.56,1035.70,L-1,$95,2
2012,5,los pollos hermanos,7,6,0,966.34,1026.91,W-1,$26,9
2012,6,Three Four D,7,6,0,1069.66,973.67,W-2,$35,8
2012,7,miniDITKAS,9,4,0,1145.13,1020.21,L-1,$49,1
