season,week,team_name,opponent,result,team_score,opponent_score,is_bye,is_playoff
2001,1,Cammuffs,crown,Loss,56.31,60.92,false,false
2001,1,Flatulent Quadroons,sme,Win,54.47,52.95,false,false
2001,1,Marx Brothers,Recruits,Win,61.02,54.75,false,false
2001,1,No Mercy,angel,Win,54.44,47.75,false,false
2001,1,Recruits,Marx Brothers,Loss,54.75,61.02,false,false
2001,1,angel,No Mercy,Loss,47.75,54.44,false,false
2001,1,clark,,,,,true,false
2001,1,crown,Cammuffs,Win,60.92,56.31,false,false
2001,1,sme,Flatulent Quadroons,Loss,52.95,54.47,false,false
2001,2,Cammuffs,clark,Win,56.37,47.08,false,false
2001,2,Flatulent Quadroons,,,,,true,false
2001,2,Marx Brothers,sme,Loss,54.05,71.62,false,false
2001,2,No Mercy,crown,Loss,45.92,76.47,false,false
2001,2,Recruits,angel,Win,50.34,45.87,false,false
2001,2,angel,Recruits,Loss,45.87,50.34,false,false
2001,2,clark,Cammuffs,Loss,47.08,56.37,false,false
2001,2,crown,No Mercy,Win,76.47,45.92,false,false
2001,2,sme,Marx Brothers,Win,71.62,54.05,false,false
2001,3,Cammuffs,,,,,true,false
2001,3,Flatulent Quadroons,Marx Brothers,Loss,56.09,71.70,false,false
2001,3,Marx Brothers,Flatulent Quadroons,Win,71.70,56.09,false,false
2001,3,No Mercy,clark,Loss,23.33,44.17,false,false
2001,3,Recruits,crown,Win,51.34,46.17,false,false
2001,3,angel,sme,Loss,57.97,80.76,false,false
2001,3,clark,No Mercy,Win,44.17,23.33,false,false
2001,3,crown,Recruits,Loss,46.17,51.34,false,false
2001,3,sme,angel,Win,80.76,57.97,false,false
2001,4,Cammuffs,No Mercy,Loss,53.57,66.17,false,false
2001,4,Flatulent Quadroons,angel,Loss,48.99,51.19,false,false
2001,4,Marx Brothers,,,,,true,false
2001,4,No Mercy,Cammuffs,Win,66.17,53.57,false,false
2001,4,Recruits,clark,Loss,34.60,46.45,false,false
2001,4,angel,Flatulent Quadroons,Win,51.19,48.99,false,false
2001,4,clark,Recruits,Win,46.45,34.60,false,false
2001,4,crown,sme,Win,74.84,60.66,false,false
2001,4,sme,crown,Loss,60.66,74.84,false,false
2001,5,Cammuffs,Recruits,Win,45.37,32.43,false,false
2001,5,Flatulent Quadroons,crown,Win,60.58,37.12,false,false
2001,5,Marx Brothers,angel,Loss,50.81,73.09,false,false
2001,5,No Mercy,,,,,true,false
2001,5,Recruits,Cammuffs,Loss,32.43,45.37,false,false
2001,5,angel,Marx Brothers,Win,73.09,50.81,false,false
2001,5,clark,sme,Loss,61.70,88.39,false,false
2001,5,crown,Flatulent Quadroons,Loss,37.12,60.58,false,false
2001,5,sme,clark,Win,88.39,61.70,false,false
2001,6,Cammuffs,sme,Loss,43.65,46.95,false,false
2001,6,Flatulent Quadroons,clark,Win,46.93,39.43,false,false
2001,6,Marx Brothers,crown,Win,52.59,42.75,false,false
2001,6,No Mercy,Recruits,Loss,21.19,48.33,false,false
2001,6,Recruits,No Mercy,Win,48.33,21.19,false,false
2001,6,angel,,,,,true,false
2001,6,clark,Flatulent Quadroons,Loss,39.43,46.93,false,false
2001,6,crown,Marx Brothers,Loss,42.75,52.59,false,false
2001,6,sme,Cammuffs,Win,46.95,43.65,false,false
2001,7,Cammuffs,Flatulent Quadroons,Win,87.90,47.20,false,false
2001,7,Flatulent Quadroons,Cammuffs,Loss,47.20,87.90,false,false
2001,7,Marx Brothers,clark,Win,71.53,51.91,false,false
2001,7,No Mercy,sme,Win,60.06,46.22,false,false
2001,7,Recruits,,,,,true,false
2001,7,angel,crown,Loss,46.43,49.72,false,false
2001,7,clark,Marx Brothers,Loss,51.91,71.53,false,false
2001,7,crown,angel,Win,49.72,46.43,false,false
2001,7,sme,No Mercy,Loss,46.22,60.06,false,false
2001,8,Cammuffs,Marx Brothers,Loss,26.77,39.32,false,false
2001,8,Flatulent Quadroons,No Mercy,Loss,51.92,65.13,false,false
2001,8,Marx Brothers,Cammuffs,Win,39.32,26.77,false,false
2001,8,No Mercy,Flatulent Quadroons,Win,65.13,51.92,false,false
2001,8,Recruits,sme,Loss,50.06,52.20,false,false
2001,8,angel,clark,Win,52.17,48.98,false,false
2001,8,clark,angel,Loss,48.98,52.17,false,false
2001,8,crown,,,,,true,false
2001,8,sme,Recruits,Win,52.20,50.06,false,false
2001,9,Cammuffs,angel,Loss,39.43,97.84,false,false
2001,9,Flatulent Quadroons,Recruits,Loss,43.70,51.71,false,false
2001,9,Marx Brothers,No Mercy,Win,95.24,45.28,false,false
2001,9,No Mercy,Marx Brothers,Loss,45.28,95.24,false,false
2001,9,Recruits,Flatulent Quadroons,Win,51.71,43.70,false,false
2001,9,angel,Cammuffs,Win,97.84,39.43,false,false
2001,9,clark,crown,Loss,44.23,62.11,false,false
2001,9,crown,clark,Win,62.11,44.23,false,false
2001,9,sme,,,,,true,false
2001,10,Cammuffs,crown,Win,63.48,51.84,false,false
2001,10,Flatulent Quadroons,sme,Loss,39.79,68.74,false,false
2001,10,Marx Brothers,Recruits,Win,79.42,55.88,false,false
2001,10,No Mercy,angel,Loss,21.65,94.65,false,false
2001,10,Recruits,Marx Brothers,Loss,55.88,79.42,false,false
2001,10,angel,No Mercy,Win,94.65,21.65,false,false
2001,10,clark,,,,,true,false
2001,10,crown,Cammuffs,Loss,51.84,63.48,false,false
2001,10,sme,Flatulent Quadroons,Win,68.74,39.79,false,false
2001,11,Cammuffs,clark,Win,77.51,35.22,false,false
2001,11,Flatulent Quadroons,,,,,true,false
2001,11,Marx Brothers,sme,Loss,60.17,74.84,false,false
2001,11,No Mercy,crown,Win,42.65,28.60,false,false
2001,11,Recruits,angel,Loss,27.09,57.33,false,false
2001,11,angel,Recruits,Win,57.33,27.09,false,false
2001,11,clark,Cammuffs,Loss,35.22,77.51,false,false
2001,11,crown,No Mercy,Loss,28.60,42.65,false,false
2001,11,sme,Marx Brothers,Win,74.84,60.17,false,false
2001,12,Cammuffs,,,,,true,false
2001,12,Flatulent Quadroons,Marx Brothers,Loss,39.60,88.24,false,false
2001,12,Marx Brothers,Flatulent Quadroons,Win,88.24,39.60,false,false
2001,12,No Mercy,clark,Loss,43.26,85.19,false,false
2001,12,Recruits,crown,Loss,43.23,59.55,false,false
2001,12,angel,sme,Loss,62.28,82.69,false,false
